Month,County,Fatalities,Events
2015-07,Kiambu,0.0,1.0
2015-07,Kilifi,1.0,1.0
2015-07,Kirinyaga,0.0,0.0
2015-07,Kisii,0.0,0.0
2015-07,Kisumu,0.0,0.0
2015-07,Kitui,0.0,0.0
2015-07,Kwale,0.0,0.0
2015-07,Laikipia,0.0,0.0
2015-07,Lamu,6.0,5.0
2015-07,Machakos,0.0,2.0
2015-07,Makueni,0.0,0.0
2015-07,Mandera,14.0,1.0
2015-07,Marsabit,0.0,0.0
2015-07,Meru,0.0,0.0
2015-07,Migori,0.0,0.0
2015-07,Mombasa,0.0,1.0
2015-07,Muranga,0.0,0.0
2015-07,Nairobi,0.0,4.0
2015-07,Nakuru,0.0,1.0
2015-07,Nandi,0.0,0.0
2015-07,Narok,0.0,0.0
2015-07,Nyamira,0.0,0.0
2015-07,Nyandarua,0.0,0.0
2015-07,Nyeri,0.0,0.0
2015-07,Samburu,0.0,0.0
2015-07,Siaya,0.0,0.0
2015-07,Taita Taveta,0.0,0.0
2015-07,Tana River,0.0,0.0
2015-07,Tharaka-Nithi,0.0,0.0
2015-07,Trans Nzoia,0.0,0.0
2015-07,Turkana,0.0,0.0
2015-07,Uasin Gishu,0.0,1.0
2015-07,Vihiga,0.0,0.0
2015-07,Wajir,0.0,0.0
2015-07,West Pokot,0.0,0.0
2015-08,Baringo,0.0,0.0
2015-08,Bomet,0.0,0.0
2015-08,Bungoma,0.0,0.0
2015-08,Busia,0.0,0.0
2015-08,Elgeyo Marakwet,0.0,0.0
2015-08,Embu,0.0,0.0
2015-08,Garissa,0.0,1.0
2015-08,Homa Bay,0.0,0.0
2015-08,Isiolo,0.0,0.0
2015-08,Kajiado,0.0,0.0
2015-08,Kakamega,0.0,1.0
2015-08,Kericho,0.0,0.0
2015-08,Kiambu,0.0,1.0
2015-08,Kilifi,0.0,0.0
2015-08,Kirinyaga,0.0,0.0
2015-08,Kisii,0.0,0.0
2015-08,Kisumu,0.0,0.0
2015-08,Kitui,0.0,0.0
2015-08,Kwale,0.0,0.0
2015-08,Laikipia,0.0,0.0
2015-08,Lamu,7.0,2.0
2015-08,Machakos,0.0,0.0
2015-08,Makueni,0.0,1.0
2015-08,Mandera,0.0,1.0
2015-08,Marsabit,5.0,1.0
2015-08,Meru,0.0,0.0
2015-08,Migori,2.0,2.0
2015-08,Mombasa,0.0,1.0
2015-08,Muranga,0.0,1.0
2015-08,Nairobi,1.0,2.0
2015-08,Nakuru,0.0,1.0
2015-08,Nandi,0.0,0.0
2015-08,Narok,0.0,0.0
2015-08,Nyamira,0.0,0.0
2015-08,Nyandarua,0.0,0.0
2015-08,Nyeri,0.0,1.0
2015-08,Samburu,1.0,1.0
2015-08,Siaya,0.0,0.0
2015-08,Taita Taveta,0.0,0.0
2015-08,Tana River,9.0,1.0
2015-08,Tharaka-Nithi,0.0,0.0
2015-08,Trans Nzoia,0.0,0.0
2015-08,Turkana,1.0,1.0
2015-08,Uasin Gishu,0.0,1.0
2015-08,Vihiga,0.0,1.0
2015-08,Wajir,0.0,0.0
2015-08,West Pokot,0.0,0.0
2015-09,Baringo,0.0,0.0
2015-09,Bomet,0.0,0.0
2015-09,Bungoma,0.0,0.0
2015-09,Busia,0.0,0.0
2015-09,Elgeyo Marakwet,0.0,0.0
2015-09,Embu,0.0,0.0
2015-09,Garissa,0.0,1.0
2015-09,Homa Bay,0.0,0.0
2015-09,Isiolo,0.0,0.0
2015-09,Kajiado,0.0,0.0
2015-09,Kakamega,0.0,0.0
2015-09,Kericho,0.0,0.0
2015-09,Kiambu,0.0,0.0
2015-09,Kilifi,0.0,0.0
2015-09,Kirinyaga,0.0,0.0
2015-09,Kisii,0.0,0.0
2015-09,Kisumu,0.0,1.0
2015-09,Kitui,0.0,0.0
2015-09,Kwale,0.0,0.0
2015-09,Laikipia,0.0,0.0
2015-09,Lamu,0.0,0.0
2015-09,Machakos,0.0,0.0
2015-09,Makueni,0.0,0.0
2015-09,Mandera,0.0,0.0
2015-09,Marsabit,0.0,0.0
2015-09,Meru,0.0,0.0
2015-09,Migori,0.0,0.0
2015-09,Mombasa,0.0,0.0
2015-09,Muranga,0.0,1.0
2015-09,Nairobi,1.0,7.0
2015-09,Nakuru,0.0,0.0
2015-09,Nandi,0.0,0.0
2015-09,Narok,0.0,0.0
2015-09,Nyamira,0.0,0.0
2015-09,Nyandarua,0.0,0.0
2015-09,Nyeri,0.0,1.0
2015-09,Samburu,0.0,0.0
2015-09,Siaya,0.0,0.0
2015-09,Taita Taveta,0.0,0.0
2015-09,Tana River,0.0,0.0
2015-09,Tharaka-Nithi,0.0,0.0
2015-09,Trans Nzoia,0.0,0.0
2015-09,Turkana,0.0,0.0
2015-09,Uasin Gishu,0.0,2.0
2015-09,Vihiga,0.0,0.0
2015-09,Wajir,0.0,0.0
2015-09,West Pokot,0.0,0.0
2015-10,Baringo,0.0,0.0
2015-10,Bomet,0.0,0.0
2015-10,Bungoma,0.0,1.0
2015-10,Busia,0.0,0.0
2015-10,Elgeyo Marakwet,0.0,0.0
2015-10,Embu,0.0,0.0
2015-10,Garissa,0.0,3.0
2015-10,Homa Bay,0.0,0.0
2015-10,Isiolo,0.0,0.0
2015-10,Kajiado,0.0,0.0
2015-10,Kakamega,0.0,1.0
2015-10,Kericho,0.0,0.0
2015-10,Kiambu,0.0,2.0
2015-10,Kilifi,0.0,1.0
2015-10,Kirinyaga,0.0,0.0
