County,geographic_unit_full_name,IPC,Month,in_Phase3+
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2013-07,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2013-10,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2014-01,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2014-04,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2014-07,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2014-10,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2015-01,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2015-04,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2015-07,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2015-10,0
Nyando,"Nyando, Nyando, Nyanza, Kenya",1.0,2016-02,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2011-07,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2011-10,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2012-01,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2012-04,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2012-07,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2012-10,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2013-01,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2013-04,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2013-07,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2013-10,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2014-01,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2014-04,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2014-07,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2014-10,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2015-01,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2015-04,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2015-07,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2015-10,0
Homa Bay,"Nyarongi, Homa Bay, Nyanza, Kenya",1.0,2016-02,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2011-07,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2011-10,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2012-01,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2012-04,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2012-07,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2012-10,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2013-01,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2013-04,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2013-07,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2013-10,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2014-01,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2014-04,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2014-07,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2014-10,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2015-01,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2015-04,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2015-07,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2015-10,0
Migori,"Nyatike, Migori, Nyanza, Kenya",1.0,2016-02,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",3.0,2011-07,1
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",4.0,2011-10,1
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",3.0,2012-01,1
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2012-04,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2012-07,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2012-10,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2013-01,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2013-04,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2013-07,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2013-10,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2014-01,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2014-04,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2014-07,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2014-10,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2015-01,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2015-04,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2015-07,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2015-10,0
Samburu,"Nyiro, Samburu, Rift Valley, Kenya",2.0,2016-02,0
Moyale,"Obbu, Moyale, Eastern, Kenya",3.0,2011-07,1
Moyale,"Obbu, Moyale, Eastern, Kenya",4.0,2011-10,1
Moyale,"Obbu, Moyale, Eastern, Kenya",3.0,2012-01,1
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2012-04,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2012-07,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2012-10,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2013-01,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2013-04,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2013-07,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2013-10,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2014-01,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2014-04,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2014-07,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2014-10,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2015-01,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2015-04,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2015-07,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2015-10,0
Moyale,"Obbu, Moyale, Eastern, Kenya",2.0,2016-02,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2011-07,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2011-10,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2012-01,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2012-04,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2012-07,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2012-10,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2013-01,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2013-04,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2013-07,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2013-10,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2014-01,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2014-04,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2014-07,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2014-10,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2015-01,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2015-04,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2015-07,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2015-10,0
Gucha,"Ogembo, Gucha, Nyanza, Kenya",1.0,2016-02,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",3.0,2011-07,1
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",3.0,2011-10,1
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2012-01,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2012-04,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2012-07,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2012-10,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2013-01,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2013-04,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2013-07,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2013-10,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2014-01,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2014-04,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2014-07,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2014-10,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2015-01,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2015-04,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2015-07,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2015-10,0
Isiolo,"Oldonyiro, Isiolo, Eastern, Kenya",2.0,2016-02,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2011-07,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2011-10,0
Nakuru,"Olenguruone, Nakuru, Rift Valley, Kenya",1.0,2012-01,0
